Result Name,Assigned Domain,Reason,Matched Token,Candidate Domains (if tie)
1 (12),damaged_property,filename_match,1 (12).glb,damaged_property
2 (509),damaged_property,filename_match,2 (509).glb,damaged_property
2 (451),damaged_property,filename_match,2 (451).glb,damaged_property
2 (465),damaged_property,filename_match,2 (465).glb,damaged_property
2 (466),damaged_property,filename_match,2 (466).glb,damaged_property
2 (447),damaged_property,filename_match,2 (447).glb,damaged_property
2 (530),damaged_property,filename_match,2 (530).glb,damaged_property
2 (507),damaged_property,filename_match,2 (507).glb,damaged_property
2 (456),damaged_property,filename_match,2 (456).glb,damaged_property
2 (531),damaged_property,filename_match,2 (531).glb,damaged_property
2 (448),damaged_property,filename_match,2 (448).glb,damaged_property
2 (484),damaged_property,filename_match,2 (484).glb,damaged_property
1 (1),damaged_property,filename_match,1 (1).glb,damaged_property
2 (459),damaged_property,filename_match,2 (459).glb,damaged_property
1 (10),damaged_property,filename_match,1 (10).glb,damaged_property
6374153323_7d0417d11b_o,potential_weapon,filename_match,6374153323_7d0417d11b_o.glb,potential_weapon
8289565796_4b31087117_o,potential_weapon,filename_match,8289565796_4b31087117_o.glb,potential_weapon
6348715937_d4e3789b91_o,potential_weapon,filename_match,6348715937_d4e3789b91_o.glb,potential_weapon
6430535711_64bbf6202f_o,potential_weapon,filename_match,6430535711_64bbf6202f_o.glb,potential_weapon
372812294_097a28a288_o,potential_weapon,filename_match,372812294_097a28a288_o.glb,potential_weapon
5516920825_b5049feefb_o,potential_weapon,filename_match,5516920825_b5049feefb_o.glb,potential_weapon
12134977656_3e56035695_o,potential_weapon,filename_match,12134977656_3e56035695_o.glb,potential_weapon
8369402627_6a670d0570_o,potential_weapon,filename_match,8369402627_6a670d0570_o.glb,potential_weapon
377916126_5ed693017f_o,potential_weapon,filename_match,377916126_5ed693017f_o.glb,potential_weapon
3237385926_71b8d52c79_o,potential_weapon,filename_match,3237385926_71b8d52c79_o.glb,potential_weapon
2755336697_34bb70b419_o,potential_weapon,filename_match,2755336697_34bb70b419_o.glb,potential_weapon
6342745960_f1c9ac8454_o,potential_weapon,filename_match,6342745960_f1c9ac8454_o.glb,potential_weapon
5265575186_3f748cb990_o,potential_weapon,filename_match,5265575186_3f748cb990_o.glb,potential_weapon
8692152662_fcffbde0ec_o,potential_weapon,filename_match,8692152662_fcffbde0ec_o.glb,potential_weapon
1841488509_9a2e18f4d0_o,potential_weapon,filename_match,1841488509_9a2e18f4d0_o.glb,potential_weapon
14694970499_b8568c5554_o,injury,filename_match,14694970499_b8568c5554_o.glb,injury
6432093093_d5ec72aa6a_o,injury,filename_match,6432093093_d5ec72aa6a_o.glb,injury
478736017_574735d556_o,injury,filename_match,478736017_574735d556_o.glb,injury
2813471684_d29f128432_o,injury,filename_match,2813471684_d29f128432_o.glb,injury
96274264_f0b3b6ec29_o,injury,filename_match,96274264_f0b3b6ec29_o.glb,injury
17008632047_b8ce20175c_o,injury,filename_match,17008632047_b8ce20175c_o.glb,injury
5342605094_98de160b86_o,injury,filename_match,5342605094_98de160b86_o.glb,injury
16943857_706887a2dc_o,injury,filename_match,16943857_706887a2dc_o.glb,injury
3775309316_6b34599913_o,injury,filename_match,3775309316_6b34599913_o.glb,injury
2881810767_9e61f39c1d_o,injury,filename_match,2881810767_9e61f39c1d_o.glb,injury
12503956853_9ffce73d29_o,injury,filename_match,12503956853_9ffce73d29_o.glb,injury
4263935274_daffe02247_o,injury,filename_match,4263935274_daffe02247_o.glb,injury
2436995155_033615b41f_o,injury,filename_match,2436995155_033615b41f_o.glb,injury
5098748633_ef76881897_o,injury,filename_match,5098748633_ef76881897_o.glb,injury
3329443197_50fbfd35eb_o,injury,filename_match,3329443197_50fbfd35eb_o.glb,injury
2460608097_9647d5e2d5_o,car_accident,filename_match,2460608097_9647d5e2d5_o.glb,car_accident
8126289047_c3a3e90202_o,car_accident,filename_match,8126289047_c3a3e90202_o.glb,car_accident
9033225599_4343dde24b_o,car_accident,filename_match,9033225599_4343dde24b_o.glb,car_accident
296064267_cfd3ed3b62_o,car_accident,filename_match,296064267_cfd3ed3b62_o.glb,car_accident
15108268883_4e203a80e0_o,car_accident,filename_match,15108268883_4e203a80e0_o.glb,car_accident
4573302817_d8b8fefae6_o,car_accident,filename_match,4573302817_d8b8fefae6_o.glb,car_accident
2689230108_a2dd17e1a5_o,car_accident,filename_match,2689230108_a2dd17e1a5_o.glb,car_accident
303541113_5f94409315_o,car_accident,filename_match,303541113_5f94409315_o.glb,car_accident
4072657213_31b23fee4f_o,car_accident,filename_match,4072657213_31b23fee4f_o.glb,car_accident
6251886823_8074e7047b_o,car_accident,filename_match,6251886823_8074e7047b_o.glb,car_accident
3536731831_99a9ec16ed_o,car_accident,filename_match,3536731831_99a9ec16ed_o.glb,car_accident
163823652_b5a4ae230c_o,car_accident,filename_match,163823652_b5a4ae230c_o.glb,car_accident
15729204092_1e76171ccf_o,car_accident,filename_match,15729204092_1e76171ccf_o.glb,car_accident
2886509057_685afebd62_o,car_accident,filename_match,2886509057_685afebd62_o.glb,car_accident
5229856292_54e9ed721a_o,car_accident,filename_match,5229856292_54e9ed721a_o.glb,car_accident
blood_12,blood,filename_match,blood_12.glb,blood
blood_124,blood,filename_match,blood_124.glb,blood
blood_311,blood,filename_match,blood_311.glb,blood
blood_3,blood,filename_match,blood_3.glb,blood
blood_101,blood,filename_match,blood_101.glb,blood
blood_305,blood,filename_match,blood_305.glb,blood
blood_361,blood,filename_match,blood_361.glb,blood
blood_121,blood,filename_match,blood_121.glb,blood
blood_111,blood,filename_match,blood_111.glb,blood
blood_16,blood,filename_match,blood_16.glb,blood
blood_20,blood,filename_match,blood_20.glb,blood
blood_226,blood,filename_match,blood_226.glb,blood
blood_227,blood,filename_match,blood_227.glb,blood
blood_32,blood,filename_match,blood_32.glb,blood
blood_104,blood,filename_match,blood_104.glb,blood
6335230273_b701b971d3_z,outdoor_home,filename_match,6335230273_b701b971d3_z.glb,outdoor_home
2399684612_0c848312d7_z,outdoor_home,filename_match,2399684612_0c848312d7_z.glb,outdoor_home
14786173021_d1a80785d7_z,outdoor_home,filename_match,14786173021_d1a80785d7_z.glb,outdoor_home
7471289382_5c7b7561cf_z,outdoor_home,filename_match,7471289382_5c7b7561cf_z.glb,outdoor_home
480930072_5ea673d155_z,outdoor_home,filename_match,480930072_5ea673d155_z.glb,outdoor_home
4671966257_b423957d1a_z,outdoor_home,filename_match,4671966257_b423957d1a_z.glb,outdoor_home
4867212771_b084d96965_z,outdoor_home,filename_match,4867212771_b084d96965_z.glb,outdoor_home
7933918534_b2af473b5c_z,outdoor_home,filename_match,7933918534_b2af473b5c_z.glb,outdoor_home
15899239397_58d15ff2ac_z,outdoor_home,filename_match,15899239397_58d15ff2ac_z.glb,outdoor_home
7622931096_0cfddb02da_z,outdoor_home,filename_match,7622931096_0cfddb02da_z.glb,outdoor_home
3438157727_8c468cb7fd_z,outdoor_home,filename_match,3438157727_8c468cb7fd_z.glb,outdoor_home
8414290992_86b6cef11e_z,outdoor_home,filename_match,8414290992_86b6cef11e_z.glb,outdoor_home
8048270935_a537c66d23_z,outdoor_home,filename_match,8048270935_a537c66d23_z.glb,outdoor_home
