Model,Quality Score,Shape Score,Appearance Score,Semantic Score,MSE (Full),Mean Pixel Diff (Full),Color Similarity (Full),SSIM (Full),PSNR (Full),ROI BBox X1,ROI BBox Y1,ROI BBox X2,ROI BBox Y2,MSE (ROI),Mean Pixel Diff (ROI),Color Similarity (ROI),SSIM (ROI),PSNR (ROI),Silhouette IoU,LPIPS (Full),Semantic Similarity,Vertices,Faces,Watertight,Has Texture,Size X,Size Y,Size Z,Surface Area,Self Intersecting,Mesh Flags
1 (12),28.23,41.35,10.52,87.43,17807.47,115.08,-0.184971,0.019126,5.62,54,142,433,409,13279.06,96.16,-0.148543,0.047449,6.90,0.413475,0.807183,0.748622,280340,501508,No,Yes,0.738292,0.610706,1.000012,3.278309,N/A,not_watertight
2 (509),32.06,41.39,20.40,86.71,10609.08,83.86,-0.074279,0.255849,7.87,46,46,512,512,8618.53,74.19,0.218317,0.308907,8.78,0.413933,0.817161,0.734280,256711,501074,No,Yes,0.888000,1.000015,0.910652,5.052348,N/A,not_watertight
2 (451),23.63,27.80,14.01,84.51,15833.49,104.44,-0.225775,0.059496,6.14,46,118,449,457,8348.90,74.30,0.032382,0.114320,8.91,0.278029,0.883991,0.690101,294230,502676,No,Yes,0.834579,0.759786,1.000152,6.926130,N/A,not_watertight
2 (465),13.30,10.54,10.10,75.24,18847.54,131.61,-0.164318,0.002492,5.38,206,183,329,345,19411.49,134.62,-0.124687,0.016953,5.25,0.105448,1.052916,0.504778,7992,12874,No,Yes,0.999997,0.054122,0.035596,0.053597,N/A,not_watertight
2 (466),32.29,51.62,15.50,77.19,10367.77,86.70,-0.144643,0.139397,7.97,46,94,505,441,8979.58,78.84,-0.063423,0.229022,8.60,0.516206,0.870959,0.543856,272116,501292,No,Yes,0.695933,0.699266,1.000004,2.698631,N/A,not_watertight
2 (447),14.82,13.94,10.28,75.65,27910.92,158.38,-0.140947,0.010717,3.67,102,46,409,457,28405.25,159.29,-0.117402,0.021145,3.60,0.139389,0.998011,0.513096,10616,18570,No,Yes,0.030949,1.000000,0.736863,0.102608,N/A,not_watertight
2 (530),17.88,16.83,12.35,81.06,14042.38,108.71,-0.124377,0.053682,6.66,118,46,409,457,13705.76,103.75,-0.118700,0.115211,6.76,0.168260,0.888572,0.621264,169760,324076,No,Yes,0.717785,0.999998,0.540209,1.231164,N/A,not_watertight
2 (507),32.86,46.47,18.20,84.96,7467.87,59.68,0.021147,0.242621,9.40,54,38,512,512,8929.03,68.15,0.065806,0.285904,8.62,0.464701,0.785913,0.699151,259442,501790,No,Yes,0.991050,0.999976,0.935871,6.149371,N/A,not_watertight
2 (456),15.93,14.72,10.67,78.85,24288.02,153.07,-0.072001,0.002895,4.28,174,46,329,441,22767.78,145.83,-0.057240,0.008741,4.56,0.147197,0.892205,0.576982,3499,5918,No,Yes,0.006010,0.999955,0.335403,0.025652,N/A,not_watertight
2 (531),30.69,41.93,16.89,85.83,7969.97,73.32,-0.210824,0.228944,9.12,70,38,465,505,7032.35,69.55,-0.127954,0.324137,9.66,0.419306,0.772848,0.716669,270375,501378,No,Yes,0.678784,0.999971,0.862313,5.211698,N/A,not_watertight
