Rank,Model,Quality Score,Shape Score,Appearance Score,Semantic Score,Mesh Status
1,blood_104,36.95,56.18,20.85,80.69,not_watertight
2,blood_111,36.68,47.73,27.11,83.74,not_watertight
3,blood_311,35.56,54.45,15.83,87.23,not_watertight
4,blood_227,35.41,60.24,13.44,79.67,not_watertight
5,478736017_574735d556_o,34.74,49.29,20.46,84.21,not_watertight
6,Datacluster Cracked Screen (178),34.59,53.39,16.91,82.34,not_watertight
7,4989837054_1d84c31d62_o,34.12,43.71,23.16,86.87,not_watertight
8,15729204092_1e76171ccf_o,34.08,47.55,18.74,87.80,not_watertight
9,19324089973_542ac72d6f_o,34.04,57.45,11.49,82.32,not_watertight
10,19906119675_2186143a4d_o,33.67,53.76,12.24,86.33,not_watertight
11,2 (507),32.86,46.47,18.20,84.96,not_watertight
12,Datacluster Cracked Screen (103),32.66,49.78,14.20,85.36,not_watertight
13,Datacluster Cracked Screen (1),32.52,42.97,18.05,90.55,not_watertight
14,96274264_f0b3b6ec29_o,32.39,48.27,15.24,84.91,not_watertight
15,2 (466),32.29,51.62,15.50,77.19,not_watertight
16,2 (509),32.06,41.39,20.40,86.71,not_watertight
17,3329443197_50fbfd35eb_o,31.42,46.58,18.07,77.79,not_watertight
18,17008632047_b8ce20175c_o,31.30,42.59,16.17,88.99,not_watertight
19,living_1026,31.09,43.70,15.48,87.11,not_watertight
20,Datacluster Cracked Screen (221),30.74,43.79,16.86,82.39,not_watertight
21,2 (531),30.69,41.93,16.89,85.83,not_watertight
22,living_1179,30.35,43.75,16.11,82.03,not_watertight
23,3775309316_6b34599913_o,30.34,44.35,12.93,87.13,not_watertight
24,16155324722_9d11d48ffc_o,30.02,43.41,11.48,90.34,not_watertight
25,kitchen_1031,29.24,28.13,26.92,86.08,not_watertight
26,living_1117,29.22,42.52,13.51,84.03,not_watertight
27,15843042109_810b925957_o,29.22,44.14,13.35,81.13,not_watertight
28,living_1044,29.12,40.68,13.81,86.60,not_watertight
29,15831449986_e6938bf528_o,29.00,35.34,16.40,91.50,not_watertight
30,Datacluster Cracked Screen (131),28.68,29.23,23.98,86.96,not_watertight
31,blood_3,28.49,39.84,12.43,87.89,not_watertight
32,Datacluster Cracked Screen (136),28.36,36.85,15.31,87.46,not_watertight
33,1 (12),28.23,41.35,10.52,87.43,not_watertight
34,kitchen_1029,28.15,42.72,11.03,83.24,not_watertight
35,blood_226,28.11,32.36,21.65,82.55,not_watertight
36,kitchen_1200,27.95,35.41,16.17,86.59,not_watertight
37,Datacluster Cracked Screen (231),27.94,31.21,21.87,83.55,not_watertight
38,Datacluster Cracked Screen (208),27.88,37.04,14.68,85.94,not_watertight
39,Datacluster Cracked Screen (105),27.88,37.39,14.69,85.22,not_watertight
40,football-factory-the-blu-ray_khe-2ffootballfactorytheblu-ray-2ffootballfactory-001-1-jpg,27.84,31.88,21.75,81.96,not_watertight
41,4263935274_daffe02247_o,27.69,40.62,14.17,78.88,not_watertight
42,2813471684_d29f128432_o,27.47,39.99,14.42,78.51,not_watertight
43,5382870740_471ca1b808_o,27.42,39.69,9.99,87.76,not_watertight
44,street-fight,27.37,30.34,20.34,85.47,not_watertight
45,kitchen_1003,27.05,32.12,17.14,86.72,not_watertight
46,2436995155_033615b41f_o,26.77,35.17,15.65,82.23,not_watertight
47,Datacluster Cracked Screen (144),26.76,21.36,26.75,87.60,not_watertight
48,Datacluster Cracked Screen (206),26.60,35.15,15.57,81.55,not_watertight
49,living_1261,26.41,31.34,16.39,86.58,not_watertight
50,2689230108_a2dd17e1a5_o,26.40,30.21,20.45,80.70,not_watertight
51,kitchen_1028,26.32,33.34,17.83,79.24,not_watertight
52,blood_121,26.28,35.65,12.43,85.24,not_watertight
53,Datacluster Cracked Screen (240),26.20,33.04,14.75,85.43,not_watertight
54,kitchen_1193,26.19,37.18,11.22,84.17,not_watertight
55,15831421306_abc0b5c6bf_o,26.17,31.24,16.92,84.52,not_watertight
56,kitchen_1134,26.16,36.19,11.40,85.61,not_watertight
57,2755336697_34bb70b419_o,26.01,34.92,11.55,87.11,not_watertight
58,8265656003_0bb911d34d_o,26.01,36.52,13.68,79.64,not_watertight
59,living_1147,25.98,32.39,13.84,87.44,not_watertight
60,3438157727_8c468cb7fd_z,25.85,35.74,11.35,85.08,not_watertight
61,6251886823_8074e7047b_o,25.56,35.50,11.46,83.86,not_watertight
62,living_1004,25.51,25.31,24.73,77.49,not_watertight
63,15899239397_58d15ff2ac_z,25.42,33.10,15.95,79.00,not_watertight
64,303541113_5f94409315_o,25.37,27.44,20.48,81.01,not_watertight
65,3729585029_5af861e06a_o,25.29,31.10,10.92,92.43,not_watertight
66,blood_12,25.23,32.04,13.98,84.13,not_watertight
67,3054017065_8d9ab6df01_o,25.10,32.42,12.41,85.86,not_watertight
68,1 (1),25.01,34.10,11.57,83.71,not_watertight
69,14786173021_d1a80785d7_z,24.94,33.23,13.48,81.27,not_watertight
70,5098748633_ef76881897_o,24.93,32.18,15.33,79.65,not_watertight
71,7471289382_5c7b7561cf_z,24.89,29.90,15.55,83.57,not_watertight
72,living_1000,24.78,30.87,15.95,80.28,not_watertight
73,blood_361,24.59,32.82,11.78,83.74,not_watertight
74,16574980597_9b4e877623_o,24.51,33.11,10.92,84.48,not_watertight
75,2399684612_0c848312d7_z,24.49,33.40,11.49,82.68,not_watertight
76,8126289047_c3a3e90202_o,24.46,31.13,12.46,85.13,not_watertight
77,Datacluster Cracked Screen (127),24.38,31.31,11.85,85.58,not_watertight
78,kitchen_1189,24.30,25.72,17.65,84.78,not_watertight
79,6335230273_b701b971d3_z,24.28,33.74,10.46,83.01,not_watertight
80,kitchen_1162,24.19,27.68,16.10,83.38,not_watertight
81,8692152662_fcffbde0ec_o,24.04,30.77,12.98,82.71,not_watertight
82,living_1174,24.04,27.55,17.33,80.43,not_watertight
83,16943857_706887a2dc_o,24.01,31.62,16.11,74.60,not_watertight
84,6348715937_d4e3789b91_o,23.89,24.20,15.24,90.59,not_watertight
85,3237385926_71b8d52c79_o,23.85,23.38,19.31,83.86,not_watertight
86,2881810767_9e61f39c1d_o,23.69,30.14,11.80,84.56,not_watertight
87,blood_32,23.68,28.58,11.63,87.96,not_watertight
88,2886509057_685afebd62_o,23.66,30.35,13.30,81.00,not_watertight
89,1d9be0bb-b696-4e97-9d58-2bc06dd435ff-m,23.66,36.57,9.83,75.49,not_watertight
90,Datacluster Cracked Screen (205),23.66,29.75,15.55,77.68,not_watertight
91,2 (451),23.63,27.80,14.01,84.51,not_watertight
92,blood_20,23.53,28.63,15.77,78.85,not_watertight
93,4121917051_0ec8c10f32_o,23.24,26.18,12.29,89.28,not_watertight
94,19554937106_af445a7df5_o,23.19,30.58,12.18,80.43,not_watertight
95,2017062293400,23.06,27.72,12.83,84.20,not_watertight
96,7933918534_b2af473b5c_z,23.01,31.88,10.18,80.94,not_watertight
97,4072657213_31b23fee4f_o,22.66,28.27,14.60,77.55,not_watertight
98,372812294_097a28a288_o,22.64,28.94,11.28,82.75,not_watertight
99,5342605094_98de160b86_o,22.64,24.86,16.13,81.20,not_watertight
100,480930072_5ea673d155_z,22.63,31.08,10.10,80.78,not_watertight
101,539361489_4b1400107e_o,22.58,31.08,9.85,81.05,not_watertight
102,living_1024,22.57,24.72,15.48,82.43,not_watertight
103,blood_124,22.56,28.85,11.75,81.58,not_watertight
104,15108268883_4e203a80e0_o,22.53,30.60,11.50,78.44,not_watertight
105,377916126_5ed693017f_o,22.38,24.90,10.59,90.92,not_watertight
106,blood_101,22.34,30.73,12.96,74.33,not_watertight
107,boxe_de_rue_-_eric_quequet_-_coup_de_genou_self_defense,22.29,23.67,12.71,88.70,not_watertight
108,8104667457_48a6a1f40a_z,22.28,20.44,18.87,82.78,not_watertight
109,Datacluster Cracked Screen (260),21.99,16.18,22.99,81.59,not_watertight
110,6432093093_d5ec72aa6a_o,21.85,26.57,10.92,84.29,not_watertight
111,living_1090,21.85,31.63,9.60,76.77,not_watertight
112,2 (484),21.59,24.15,16.69,76.28,not_watertight
113,hqdefault,21.53,30.35,9.07,78.83,not_watertight
114,2 (459),21.49,26.34,11.65,81.47,not_watertight
115,12992937843_396732f798_o,21.46,25.98,8.93,87.47,not_watertight
116,kitchen_1099,21.45,21.21,16.11,82.60,not_watertight
117,kitchen_1148,21.43,28.22,11.71,77.27,not_watertight
118,19688793649_b4e50f1b97_o,21.38,25.39,12.57,80.99,not_watertight
119,living_1211,21.37,29.52,9.56,78.68,not_watertight
120,12503956853_9ffce73d29_o,21.29,24.70,17.58,71.90,not_watertight
121,5075275649_c015fcbae9_o,21.07,21.95,11.78,87.91,not_watertight
122,6963681645_d040d056a2_o,21.06,21.67,11.45,89.06,not_watertight
123,15933264296_158a3fd419_o,21.01,22.26,12.38,85.79,not_watertight
124,8557270023_66a3c63006_o,20.93,21.52,12.84,85.95,not_watertight
125,8210802253_1deca73f17_o,20.93,13.31,17.93,92.15,not_watertight
126,5265575186_3f748cb990_o,20.67,18.46,16.52,83.40,not_watertight
127,9033225599_4343dde24b_o,20.67,19.90,13.86,85.85,not_watertight
128,15149278572_534337cae9_o,20.60,22.31,13.09,82.21,not_watertight
129,8048270935_a537c66d23_z,20.54,25.54,10.05,81.53,not_watertight
130,439615817_6a362b6b3c_o,20.34,21.69,11.74,84.83,not_watertight
131,4867212771_b084d96965_z,20.22,20.38,13.09,84.17,not_watertight
132,19667654424_662b25a4d3_o,20.19,22.66,10.56,84.53,not_watertight
133,blow1,20.10,28.05,10.15,74.10,not_watertight
134,163823652_b5a4ae230c_o,20.07,25.77,10.83,77.15,not_watertight
135,2460608097_9647d5e2d5_o,20.04,22.60,14.38,76.22,not_watertight
136,4671966257_b423957d1a_z,19.92,25.62,9.80,78.74,not_watertight
137,7622931096_0cfddb02da_z,19.91,23.47,10.40,81.82,not_watertight
138,Honto_bunkai-Street_fighting,19.86,21.46,16.69,73.02,not_watertight
139,296064267_cfd3ed3b62_o,19.83,21.63,14.19,77.50,not_watertight
140,blood_16,19.72,21.94,13.11,78.49,not_watertight
141,2 (448),19.49,18.66,12.35,85.45,not_watertight
142,2249564736_d42d4caede_o,19.49,27.20,8.74,75.55,not_watertight
143,149291028_4548453a07_o,19.46,20.10,10.02,87.08,not_watertight
144,1 (10),19.28,22.03,13.06,76.23,not_watertight
145,6395024177_81fa2847c3_o,19.12,14.46,18.38,79.90,not_watertight
146,6374153323_7d0417d11b_o,19.09,18.52,11.61,85.18,not_watertight
147,8289565796_4b31087117_o,18.92,21.26,10.96,80.14,not_watertight
148,3536731831_99a9ec16ed_o,18.86,24.11,7.88,80.30,not_watertight
149,parent,18.62,22.45,11.98,74.25,not_watertight
150,8369402627_6a670d0570_o,18.55,22.82,9.39,78.34,not_watertight
151,100190416_11ead6547f_o,18.42,16.61,11.32,86.23,not_watertight
152,6430535711_64bbf6202f_o,18.38,12.28,12.18,93.00,not_watertight
153,6342745960_f1c9ac8454_o,18.27,12.99,11.43,92.49,not_watertight
154,living_10,18.10,19.77,11.74,77.49,not_watertight
155,7980555696_3c7aab76d8_z,18.03,19.42,11.87,77.57,not_watertight
156,2 (530),17.88,16.83,12.35,81.06,not_watertight
157,two-angry-women-in-road-rage-fight,17.71,19.39,10.46,78.85,not_watertight
158,road-rage-4,17.55,18.91,10.54,78.87,not_watertight
159,309509,17.53,18.47,9.96,80.81,not_watertight
160,blood_305,17.34,15.35,13.23,79.54,not_watertight
161,getImage,17.31,19.38,9.86,78.07,not_watertight
